cohort,newaimag,wave,log_wage,educ_years,experience,experience_sq,age,pct_female,pct_urban,pct_married,mean_hhsize,cell_n,sum_weight,panel_id,n_waves
c1980,21,2016,13.0567312233617,10.0725731118149,17.6528171385535,324.48803518572,33.7253902503683,0.315563924720625,0.664218966453848,0.861674849515018,4.24874451643699,67,2717.20751953125,c1980_21,5
c1975,21,2016,13.014375273176,11.0089207716095,22.1044113747201,497.745634374231,39.1133321463296,0.490654873870147,0.657327245829587,0.794274207995472,3.93993251007363,68,2745.98419380188,c1975_21,5
c1990,21,2016,12.9249744008482,11.5612129592274,8.06257692654527,72.124422274094,25.6237898857727,0.374810107661108,0.688763620006965,0.954436234872683,4.14937194406425,28,1155.46774482727,c1990_21,5
c1985,21,2016,13.0167216859814,11.6074422973411,11.3696071290179,143.23235822578,28.977049426359,0.422547467782317,0.591457439333498,0.911121761460345,3.65541096472995,86,3322.7848777771,c1985_21,5
c1960,21,2016,13.0114805520292,10.2901452852633,37.2569143055094,1399.27249396963,53.5470595907726,0.523160449243357,0.609110771747434,0.642793651850008,3.76748849933488,29,1138.15317726135,c1960_21,1
c1970,21,2016,13.0037841426184,10.9704954335796,27.1929364991962,747.588332355408,44.1634319327758,0.542691221852847,0.620218266982723,0.784586642671692,3.63233959063476,63,2479.826587677,c1970_21,5
c1965,21,2016,12.8988578480482,10.2311140040071,32.4033790523299,1054.14794798123,48.6344930563369,0.407440248056344,0.806949707127327,0.729611600194308,2.89647744914803,35,1578.75862884522,c1965_21,4
c1975,22,2016,12.7963723339495,10.1548638173597,22.9913763503316,539.032129497563,39.1462401676913,0.578693933159907,0.463035828376835,0.9300469964499,4.46786079286951,41,1078.16155433655,c1975_22,5
c1960,22,2016,12.9273722298944,11.1631601678121,36.9351516095314,1377.63737393759,54.0983117773436,0.672957520262312,0.404252270100524,0.674235035410213,3.09036036360615,28,755.777374267578,c1960_22,2
c1965,22,2016,12.9649701172687,11.3634638425957,31.5618763848682,1001.48846453093,48.9253402274639,0.575182328629498,0.341452493247447,0.828477930279098,3.91696962273754,48,1324.52146911621,c1965_22,3
c1970,22,2016,12.9302958496162,11.373698248098,26.7057042730505,719.144233282418,44.0794025211485,0.594394995132259,0.433662795465031,0.885894666899483,4.08416194454454,43,1139.0098323822,c1970_22,4
c1980,22,2016,13.0761147232329,11.0734780337259,16.6974469545059,292.583636166093,33.7709249882318,0.462223466888799,0.516628893503059,0.808867073265921,4.01338117512088,70,1798.00228118896,c1980_22,5
c1985,22,2016,13.0309709484503,12.2576952211209,10.8608674728546,127.341166637026,29.1185626939754,0.436334988758077,0.46039303721862,0.8775409406551,3.94457922850774,77,2022.49480628967,c1985_22,5
c1990,22,2016,12.8939398912415,12.0392898437852,7.40256252165722,64.27912843099,25.4418523654424,0.47259292184527,0.531909574820083,0.825111918936245,3.73796730613787,24,618.388090133667,c1990_22,5
c1980,23,2016,13.0689153565181,11.6014262069496,16.579908400697,285.265979094063,34.1813346076466,0.539441666003637,0.430677516776416,0.885427490216004,4.09451016394887,59,2228.64056015015,c1980_23,5
c1975,23,2016,13.179886122412,11.5080843571471,21.5917772465583,476.205622457679,39.0998616037054,0.590157602187053,0.437964149838032,0.854033831239683,4.30960067822409,54,2047.29589080811,c1975_23,5
